title,date,time,tags
"مقدمات بیماری‌های غدد",1405-07-19,12:00,
"فارماکولوژی داروهای اندوکرین",1405-07-25,09:00,
"مقدمات بیماری روماتولوژی",1405-08-13,12:00,
"پاتولوژی پوست استخوان نسج نرم",1405-08-16,09:00,
"مقدمات خون",1405-09-04,12:00,
"پاتولوژی اختصاصی بیماری های خون و غدد درون ریز",1405-09-08,12:00,
"فارماکولوژی داروهای خون، گوارش و روماتولوژی",1405-09-11,12:00,
"مقدمات بیماری‌های روانپزشکی",1405-09-21,09:00,
"مقدمات بیماری‌های اعصاب",1405-09-29,12:00,
"پاتولوژی دستگاه اعصاب مرکزی محیطی",1405-10-01,12:00,
"فارماکولوژی داروهای دستگاه اعصاب و روان",1405-10-05,09:00,
"آزمون مقدمات بیماری های جراحی",1405-10-20,12:00,
"پاتولوژی اختصاصی دستگاه تناسلی مجاری ادراری و پستان",1405-10-23,12:00,
"تغذیه در بیماری‌های ۲",1405-10-26,10:00,
"شرح حال و معاینه فیزیکی ۲ و کارآموزی شرح حال و معاینه فیزیکی ۲",1405-10-28,12:00,
"هوش مصنوعی",1405-10-30,12:00,
"ایمنی شناسی بالینی",1405-11-03,10:00,
"آناتومی جراحی",1405-11-06,11:00,
"اپیدمیولوژی غیر واگیر",1405-11-10,10:00,
"اپیدمیولوژی واگیر",1405-11-14,12:15,
"استدلال بالینی",1405-11-17,12:00,
