name,persianDate,time,day,gregorianDate
"میانترم فیزیولوژی دکتر حسینی","۱ آذر","۰۸:۰۰","شنبه",2025-11-22
"نورو دکتر محمدی‌پور و وفایی","۱۵ آذر","۰۸:۰۰","شنبه",2025-12-06
"آداب پزشکی (۴)","۱۷ آذر","۱۱:۴۵","دوشنبه",2025-12-08
"فیزیک پزشکی","۲۲ آذر","۱۱:۴۵","شنبه",2025-12-13
"علوم تشریح حواس ویژه","۲ دی","۱۳:۰۰","سه‌شنبه",2025-12-23
"مقدمات فارماکولوژی","۶ دی","۰۸:۰۰","شنبه",2025-12-27
"ایمنی شناسی عملی","۷ دی","۱۲:۰۰","یک‌شنبه",2025-12-28
"فیزیولوژی اعصاب و حواس ویژه","۱۱ بهمن","۰۹:۰۰","شنبه",2026-1-31
"ایمنی شناسی نظری","۱۴ بهمن","۰۹:۰۰","سه‌شنبه",2026-2-3
"انگل شناسی نظری","۱۸ بهمن","۱۳:۰۰","شنبه",2026-2-7
"علوم تشریح اعصاب نظری","۲۱ بهمن","۱۱:۰۰","سه‌شنبه",2026-2-10
"قارچ شناسی نظری","۲۵ بهمن","۱۳:۰۰","شنبه",2026-2-14
"فیزیک پزشکی","۲۷ بهمن","۰۸:۰۰","دوشنبه",2026-2-16
"تفسیر موضوعی قرآن","۹ اسفند","-","شنبه",2026-2-28
"آزمون جامع علوم پایه","۱۴ اسفند","۸:۰۰","پنجشنبه",2026-3-5
"پاتولوژی عمومی","۱۷ اسفند","-","یک‌شنبه",2026-3-8
